Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
23,Video,Terminal stance,00:32.869,00:33.122,00:00.253,00:32.092,00:01.231,00:32.489,00:01.267
23,Video,Pre-swing,00:33.122,00:33.249,00:00.126,00:32.092,00:01.231,00:32.489,00:01.267
23,Video,Toe-off,00:33.249,00:33.413,00:00.164,00:32.092,00:01.231,00:32.489,00:01.267
23,Video,Mid-swing,00:33.413,00:33.591,00:00.177,00:32.092,00:01.231,00:32.489,00:01.267
23,Video,Terminal swing,00:33.591,00:33.756,00:00.164,00:32.092,00:01.231,00:32.489,00:01.267
25,CSV,Heel strike - Loading response,00:37.429,00:37.567,00:00.137,00:37.430,00:01.370,00:37.854,00:01.232
25,CSV,Mid-stance,00:37.567,00:37.841,00:00.274,00:37.430,00:01.370,00:37.854,00:01.232
25,CSV,Terminal stance,00:37.841,00:38.115,00:00.274,00:37.430,00:01.370,00:37.854,00:01.232
25,CSV,Pre-swing,00:38.115,00:38.252,00:00.137,00:37.430,00:01.370,00:37.854,00:01.232
25,CSV,Toe-off,00:38.252,00:38.430,00:00.178,00:37.430,00:01.370,00:37.854,00:01.232
25,CSV,Mid-swing,00:38.430,00:38.621,00:00.191,00:37.430,00:01.370,00:37.854,00:01.232
25,CSV,Terminal swing,00:38.621,00:38.799,00:00.178,00:37.430,00:01.370,00:37.854,00:01.232
25,Video,Heel strike - Loading response,00:37.853,00:37.977,00:00.123,00:37.430,00:01.370,00:37.854,00:01.232
25,Video,Mid-stance,00:37.977,00:38.223,00:00.246,00:37.430,00:01.370,00:37.854,00:01.232
25,Video,Terminal stance,00:38.223,00:38.469,00:00.246,00:37.430,00:01.370,00:37.854,00:01.232
25,Video,Pre-swing,00:38.469,00:38.593,00:00.123,00:37.430,00:01.370,00:37.854,00:01.232
25,Video,Toe-off,00:38.593,00:38.753,00:00.160,00:37.430,00:01.370,00:37.854,00:01.232
